date,spot_id,product_id,sale_type_id,is_heated,quantity
2026-03-02,2,1,1,True,1.0
2026-03-02,2,2,1,False,1.0
2026-03-02,2,2,1,True,1.0
2026-03-02,2,10,1,True,1.0
2026-03-02,2,16,1,False,1.0
2026-03-02,2,20,1,False,2.0
2026-03-02,2,20,3,False,1.0
2026-03-02,2,21,1,False,2.0
2026-03-02,2,40,1,False,3.0
2026-03-02,2,77,1,False,2.0
2026-03-02,2,80,1,False,1.0
2026-03-02,2,88,1,False,1.0
2026-03-02,2,88,1,True,1.0
2026-03-02,2,90,1,False,1.0
2026-03-02,2,90,3,False,1.0
2026-03-02,2,105,1,False,1.0
2026-03-02,2,121,1,False,4.0
2026-03-02,2,127,1,False,1.0
2026-03-02,2,142,1,False,1.0
2026-03-02,2,156,1,False,3.0
2026-03-02,2,171,1,False,2.0
2026-03-02,2,180,1,False,2.0
2026-03-02,2,181,1,False,1.0
2026-03-02,2,182,1,False,1.0
2026-03-02,2,216,1,False,1.0
2026-03-02,2,219,1,False,3.0
2026-03-02,2,255,1,False,3.0
2026-03-02,2,256,1,False,2.0
2026-03-02,2,257,1,False,2.0
2026-03-02,2,260,1,False,2.0
2026-03-02,2,261,1,False,1.0
2026-03-02,2,262,1,False,1.0
2026-03-02,2,262,3,False,1.0
2026-03-02,2,263,1,False,2.0
2026-03-02,2,265,1,False,2.0
2026-03-02,2,266,1,False,2.0
2026-03-02,2,267,1,False,1.0
2026-03-02,2,269,1,False,3.0
2026-03-02,2,271,1,False,2.0
2026-03-02,2,272,1,False,2.0
2026-03-02,2,274,1,False,2.0
2026-03-02,2,275,1,False,2.0
2026-03-02,2,277,1,False,2.0
2026-03-02,2,278,1,False,1.0
2026-03-02,2,279,1,False,2.0
2026-03-02,2,280,1,False,1.0
2026-03-02,2,281,1,False,10.0
2026-03-02,2,282,1,False,5.0
2026-03-02,2,284,1,False,1.0
2026-03-02,9,1,1,False,3.0
2026-03-02,9,1,3,False,1.0
2026-03-02,9,2,1,False,2.0
2026-03-02,9,10,1,False,2.0
2026-03-02,9,16,1,False,1.0
