date,spot_id,product_id,movement_type_id,quantity,cost
2026-03-02,2,1,1,3,18.03
2026-03-02,2,2,1,3,17.37
2026-03-02,2,10,1,3,18.15
2026-03-02,2,16,1,1,4.83
2026-03-02,2,17,1,2,10.08
2026-03-02,2,19,1,1,4.03
2026-03-02,2,20,1,3,11.04
2026-03-02,2,21,1,2,4.66
2026-03-02,2,22,1,1,3.53
2026-03-02,2,40,1,3,12.66
2026-03-02,2,58,1,2,3.9
2026-03-02,2,77,1,2,5.84
2026-03-02,2,80,1,1,4.21
2026-03-02,2,81,1,2,7.44
2026-03-02,2,88,1,3,12.27
2026-03-02,2,90,1,2,8.52
2026-03-02,2,105,1,4,15.36
2026-03-02,2,121,1,6,25.32
2026-03-02,2,127,1,5,12.35
2026-03-02,2,142,1,4,9.32
2026-03-02,2,156,1,4,14.24
2026-03-02,2,165,1,2,2.06
2026-03-02,2,167,1,1,1.59
2026-03-02,2,171,1,6,9.12
2026-03-02,2,180,1,6,27.9
2026-03-02,2,181,1,1,4.35
2026-03-02,2,182,1,1,8.39
2026-03-02,2,216,1,5,9.85
2026-03-02,2,219,1,3,6.78
2026-03-02,2,255,1,3,10.56
2026-03-02,2,256,1,2,7.7
2026-03-02,2,257,1,2,7.08
2026-03-02,2,260,1,3,21.78
2026-03-02,2,261,1,2,11.92
2026-03-02,2,262,1,2,13.22
2026-03-02,2,263,1,3,18.21
2026-03-02,2,264,1,2,10.92
2026-03-02,2,265,1,2,9.58
2026-03-02,2,266,1,2,8.5
2026-03-02,2,267,1,2,9.9
2026-03-02,2,268,1,1,3.61
2026-03-02,2,269,1,3,11.16
2026-03-02,2,270,1,2,9.62
2026-03-02,2,271,1,2,8.48
2026-03-02,2,272,1,5,6.85
2026-03-02,2,273,1,5,8.8
2026-03-02,2,274,1,2,3.64
2026-03-02,2,275,1,2,3.36
2026-03-02,2,276,1,2,13.22
2026-03-02,2,277,1,3,11.22
2026-03-02,2,278,1,2,7.86
2026-03-02,2,279,1,2,7.62
2026-03-02,2,280,1,2,5.56
2026-03-02,2,281,1,10,11.5
2026-03-02,2,282,1,5,1.4
2026-03-02,2,284,1,1,0.4
2026-03-02,9,1,1,4,24.04
2026-03-02,9,2,1,2,11.58
2026-03-02,9,10,1,2,12.1
2026-03-02,9,16,1,2,9.66
2026-03-02,9,17,1,4,20.16
2026-03-02,9,19,1,1,4.03
2026-03-02,9,20,1,6,22.08
2026-03-02,9,21,1,1,2.33
2026-03-02,9,22,1,1,3.53
2026-03-02,9,40,1,2,8.44
2026-03-02,9,58,1,7,13.65
2026-03-02,9,77,1,6,17.52
2026-03-02,9,80,1,1,4.21
2026-03-02,9,81,1,6,22.32
2026-03-02,9,88,1,7,28.63
2026-03-02,9,90,1,2,8.52
2026-03-02,9,105,1,4,15.36
2026-03-02,9,121,1,6,25.32
2026-03-02,9,127,1,8,19.76
2026-03-02,9,142,1,4,9.32
2026-03-02,9,156,1,6,21.36
2026-03-02,9,165,1,1,1.03
2026-03-02,9,167,1,8,12.72
2026-03-02,9,171,1,8,12.16
2026-03-02,9,180,1,7,32.55
2026-03-02,9,181,1,3,13.05
2026-03-02,9,182,1,3,25.17
2026-03-02,9,216,1,8,15.76
2026-03-02,9,219,1,4,9.04
2026-03-02,9,255,1,2,7.04
2026-03-02,9,256,1,1,3.85
2026-03-02,9,257,1,1,3.54
2026-03-02,9,260,1,4,29.04
2026-03-02,9,261,1,3,17.88
2026-03-02,9,262,1,5,33.05
2026-03-02,9,263,1,6,36.42
2026-03-02,9,264,1,4,21.84
2026-03-02,9,265,1,2,9.58
2026-03-02,9,266,1,2,8.5
2026-03-02,9,267,1,2,9.9
2026-03-02,9,268,1,2,7.22
2026-03-02,9,269,1,4,14.88
2026-03-02,9,270,1,4,19.24
2026-03-02,9,271,1,1,4.24
2026-03-02,9,272,1,9,12.33
2026-03-02,9,273,1,10,17.6
2026-03-02,9,274,1,4,7.28
2026-03-02,9,275,1,4,6.72
2026-03-02,9,276,1,3,19.83
2026-03-02,9,277,1,2,7.48
2026-03-02,9,278,1,3,11.79
2026-03-02,9,279,1,2,7.62
2026-03-02,9,280,1,2,5.56
2026-03-02,9,281,1,7,8.05
2026-03-02,9,282,1,3,0.84
2026-03-02,9,283,1,2,1.2
2026-03-02,9,284,1,2,0.8
2026-03-02,13,1,1,3,18.03
2026-03-02,13,2,1,2,11.58
2026-03-02,13,10,1,4,24.2
2026-03-02,13,16,1,3,14.49
2026-03-02,13,17,1,3,15.12
2026-03-02,13,19,1,2,8.06
2026-03-02,13,20,1,2,7.36
2026-03-02,13,21,1,2,4.66
2026-03-02,13,22,1,3,10.59
2026-03-02,13,40,1,1,4.22
2026-03-02,13,58,1,2,3.9
2026-03-02,13,77,1,3,8.76
2026-03-02,13,80,1,1,4.21
2026-03-02,13,81,1,2,7.44
2026-03-02,13,88,1,3,12.27
2026-03-02,13,90,1,3,12.78
2026-03-02,13,105,1,1,3.84
2026-03-02,13,121,1,3,12.66
2026-03-02,13,127,1,2,4.94
2026-03-02,13,142,1,1,2.33
2026-03-02,13,156,1,7,24.92
2026-03-02,13,165,1,2,2.06
2026-03-02,13,167,1,4,6.36
2026-03-02,13,171,1,4,6.08
2026-03-02,13,180,1,3,13.95
2026-03-02,13,181,1,1,4.35
2026-03-02,13,182,1,3,25.17
2026-03-02,13,216,1,2,3.94
2026-03-02,13,219,1,2,4.52
2026-03-02,13,255,1,1,3.52
2026-03-02,13,256,1,4,15.4
2026-03-02,13,257,1,4,14.16
2026-03-02,13,260,1,2,14.52
2026-03-02,13,261,1,1,5.96
2026-03-02,13,262,1,2,13.22
2026-03-02,13,263,1,2,12.14
2026-03-02,13,264,1,2,10.92
2026-03-02,13,265,1,1,4.79
2026-03-02,13,266,1,1,4.25
2026-03-02,13,267,1,2,9.9
2026-03-02,13,268,1,2,7.22
2026-03-02,13,269,1,2,7.44
2026-03-02,13,270,1,2,9.62
2026-03-02,13,271,1,1,4.24
2026-03-02,13,272,1,4,5.48
2026-03-02,13,273,1,4,7.04
2026-03-02,13,274,1,2,3.64
2026-03-02,13,275,1,2,3.36
2026-03-02,13,276,1,4,26.44
2026-03-02,13,277,1,5,18.7
2026-03-02,13,278,1,5,19.65
2026-03-02,13,279,1,2,7.62
2026-03-02,13,280,1,2,5.56
2026-03-02,13,282,1,1,0.28
2026-03-02,13,283,1,3,1.8
2026-03-02,17,1,1,2,12.02
